movieId,avg_rating,rating_count,rating_std,title,genres
1041,4.590909090909091,11,0.4908249086070214,Secrets & Lies (1996),Drama
3451,4.545454545454546,11,0.650174801670499,Guess Who's Coming to Dinner (1967),Drama
1178,4.541666666666667,12,0.5418123347254158,Paths of Glory (1957),Drama|War
1104,4.475,20,0.6584471365105534,"Streetcar Named Desire, A (1951)",Drama
2360,4.458333333333333,12,0.5822500764406575,"Celebration, The (Festen) (1998)",Drama
1217,4.433333333333334,15,0.5627314338711379,Ran (1985),Drama|War
318,4.429022082018927,317,0.7130186250284238,"Shawshank Redemption, The (1994)",Crime|Drama
951,4.392857142857143,14,0.594156526533184,His Girl Friday (1940),Comedy|Romance
1927,4.35,10,0.6687467549246292,All Quiet on the Western Front (1930),Action|Drama|War
3468,4.333333333333333,18,0.7071067811865475,"Hustler, The (1961)",Drama
